id;prenom_nom;telephone;service_offert;solde
1;Southwest since Secured;1-818-311-4091;Gasoline;77050
2;Granite Towels;(926) 396-1876 x14450;Tricycle;93636
3;Dynamic;1-440-258-5585 x0796;Minivan Soft Southeast;3955
4;Specialist bafflement ducimus;276-206-3977 x7006;gold;70845
5;Wauwatosa;664-730-8603 x39148;Gasoline;36125
6;Intersex;(577) 761-8996 x039;deploy volt uniform;12031
7;East;1-239-247-0224 x282;matrix Einsteinium Account;57304
8;AI Gasoline;668.614.6993 x987;Northeast;65816
9;meter Texas invoice;1-402-225-1453 x18025;Borders per grown;48951
10;Platinum muffled;(222) 764-4706 x33611;Arizona Granite Buckinghamshire;7715
